HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Commonname,fmat,Malematurity,diffmalefemalematurity,Gestation,Weaning,LitterClutchsize,LittersClutchesperyear,InterlitterInterbirthinterval,Birthweight,Weaningweight,Adultweight,Growthrate,Maximumlongevity,Source,Specimenorigin,Samplesize,Dataquality,IMR,MRDT,Metabolicrate,Bodymass,Temperature,References
3291,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,latastei,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.latastei,Lataste's viper,,,0,,,,,,,,,,9.7,485,captivity,small,acceptable,,,,,,485
3292,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,raddei,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.raddei,Armenian viper,,,0,,,,,,,,,,10.7,451,captivity,medium,acceptable,,,,,,451
3293,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,xanthina,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.xanthina,Palestine viper,,,0,,,,,,,,,,16.4,451,captivity,small,acceptable,,,,,,451
3294,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Lepidophyma,flavimaculatum,Animalia.Chordata.Reptilia.Squamata.Xantusiidae.Lepidophyma.flavimaculatum,Yellow-spotted night lizard,,,0,,,,,,,,,,11,451,captivity,tiny,acceptable,,,,,,451
3295,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,henshawi,Animalia.Chordata.Reptilia.Squamata.Xantusiidae.Xantusia.henshawi,Granite night lizard,,,0,,,,,,,,,,14.3,485,captivity,tiny,acceptable,,,,,,485
3296,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,riversiana,Animalia.Chordata.Reptilia.Squamata.Xantusiidae.Xantusia.riversiana,Island night lizard,,,0,,,,,,,,,,13.9,451,captivity,small,acceptable,,,,,,451
3297,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,vigilis,Animalia.Chordata.Reptilia.Squamata.Xantusiidae.Xantusia.vigilis,Desert night lizard,,,0,,,,,,,,,,10.9,451,captivity,small,acceptable,,,,,,451
3298,Animalia,Chordata,Reptilia,Squamata,Xenopeltidae,Xenopeltis,unicolor,Animalia.Chordata.Reptilia.Squamata.Xenopeltidae.Xenopeltis.unicolor,Sunbeam snake,,,0,,,,,,,,,,12.1,485,captivity,small,acceptable,,,,,,485
3299,Animalia,Chordata,Reptilia,Squamata,Xenophidia,Dispholidus,typus,Animalia.Chordata.Reptilia.Squamata.Xenophidia.Dispholidus.typus,Boomslang,,,0,,,,,,,,,,8.7,485,captivity,small,acceptable,,,,,,485
3301,Animalia,Chordata,Reptilia,Testudines,Carettochelyidae,Carettochelys,insculpta,Animalia.Chordata.Reptilia.Testudines.Carettochelyidae.Carettochelys.insculpta,Pignose turtle,,,0,,,,,,,,,,38.4,451,captivity,medium,acceptable,,,,,,451
3302,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelodina,longicollis,Animalia.Chordata.Reptilia.Testudines.Chelidae.Chelodina.longicollis,Common snake-necked turtle,,,0,,,,,,,,,,37,1,wild,medium,acceptable,,,,,,1
3303,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelodina,oblonga,Animalia.Chordata.Reptilia.Testudines.Chelidae.Chelodina.oblonga,Oblong snakeneck turtle,,,0,,,,,,,,,,,,unknown,tiny,low,,,,,,451
3304,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelus,fimbriatus,Animalia.Chordata.Reptilia.Testudines.Chelidae.Chelus.fimbriatus,Mata mata,,,0,,,,,,,,,,35.8,451,captivity,small,acceptable,,,,,,451
3305,Animalia,Chordata,Reptilia,Testudines,Chelidae,Elseya,dentata,Animalia.Chordata.Reptilia.Testudines.Chelidae.Elseya.dentata,Northern Australian snapping turtle,,,0,,,,,,,,,,21.8,451,captivity,small,acceptable,,,,,,451
3306,Animalia,Chordata,Reptilia,Testudines,Chelidae,Emydura,krefftii,Animalia.Chordata.Reptilia.Testudines.Chelidae.Emydura.krefftii,Krefft's river turtle,,,0,,,,,,,,,,15.8,451,captivity,medium,acceptable,,,,,,451
3307,Animalia,Chordata,Reptilia,Testudines,Chelidae,Emydura,macquarii,Animalia.Chordata.Reptilia.Testudines.Chelidae.Emydura.macquarii,Macquarie turtle,,,0,,,,,,,,,,20.9,451,captivity,medium,acceptable,,,,,,451
3308,Animalia,Chordata,Reptilia,Testudines,Chelidae,Mesoclemmys,dahli,Animalia.Chordata.Reptilia.Testudines.Chelidae.Mesoclemmys.dahli,Dahl's toad-headed turtle,,,0,,,,,,,,,,27.4,485,captivity,small,acceptable,,,,,,485
3309,Animalia,Chordata,Reptilia,Testudines,Chelidae,Myuchelys,latisternum,Animalia.Chordata.Reptilia.Testudines.Chelidae.Myuchelys.latisternum,Serrated snapping turtle,,,0,,,,,,,,,,26.5,451,captivity,small,acceptable,,,,,,451
3310,Animalia,Chordata,Reptilia,Testudines,Chelidae,Phrynops,geoffroanus,Animalia.Chordata.Reptilia.Testudines.Chelidae.Phrynops.geoffroanus,Geoffrey's sideneck turtle,,,0,,,,,,,,,,37.5,485,captivity,medium,acceptable,,,,,,485
3311,Animalia,Chordata,Reptilia,Testudines,Chelidae,Phrynops,hilarii,Animalia.Chordata.Reptilia.Testudines.Chelidae.Phrynops.hilarii,Hilaire's side-necked turtle,,,0,,,,,,,,,,37.4,451,captivity,medium,acceptable,,,,,,451
3312,Animalia,Chordata,Reptilia,Testudines,Chelidae,Platemys,platycephala,Animalia.Chordata.Reptilia.Testudines.Chelidae.Platemys.platycephala,Twistneck turtle,,,0,,,,,,,,,,20,485,captivity,tiny,acceptable,,,,,,"485,810"
3313,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,caretta,Animalia.Chordata.Reptilia.Testudines.Cheloniidae.Caretta.caretta,Loggerhead sea turtle,3650,3650,0,60,,115,,,,,156500,,37,,unknown,medium,acceptable,,,,,,"83,439,440,528,543"
3314,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Animalia.Chordata.Reptilia.Testudines.Cheloniidae.Chelonia.mydas,Green sea turtle,3650,3650,0,59,,150,,,,,160000,,75,,unknown,medium,acceptable,,,,,,"439,440,468"
3315,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Animalia.Chordata.Reptilia.Testudines.Cheloniidae.Eretmochelys.imbricata,Hawksbill,1277,1277,0,,,,,,,,,,,,unknown,small,low,,,,,,528
3316,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,Animalia.Chordata.Reptilia.Testudines.Cheloniidae.Lepidochelys.kempii,Atlantic ridley,2190,2190,0,60,,110,,,,,40500,,,,unknown,small,low,,,,,,"354,394,405,281,267"
3317,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,serpentina,Animalia.Chordata.Reptilia.Testudines.Chelydridae.Chelydra.serpentina,Common snapping turtle,3285,2646,-639,,,,,,,,10250,,47,1,wild,medium,acceptable,,,,,,"1,439,527,528"
3318,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Macrochelys,temminckii,Animalia.Chordata.Reptilia.Testudines.Chelydridae.Macrochelys.temminckii,Alligator snapping turtle,4015,4015,0,120,,30,,,,,58500,,70.3,451,captivity,small,acceptable,,,,,,"439,451"
3319,Animalia,Chordata,Reptilia,Testudines,Dermatemydidae,Dermatemys,mawii,Animalia.Chordata.Reptilia.Testudines.Dermatemydidae.Dermatemys.mawii,Central american river turtle,,,0,,,,,,,,,,11.3,451,captivity,small,acceptable,,,,,,451
3320,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,Animalia.Chordata.Reptilia.Testudines.Dermochelyidae.Dermochelys.coriacea,Leatherback sea turtle,,,0,60,,105,,,,,420000,,30,33,unknown,medium,acceptable,,,,,,"33,34,35,439,440,939"
3321,Animalia,Chordata,Reptilia,Testudines,Emydidae,Actinemys,marmorata,Animalia.Chordata.Reptilia.Testudines.Emydidae.Actinemys.marmorata,Southwestern pond turtle,,,0,,,,,,,,,,27.3,451,captivity,small,acceptable,,,,,,451
3322,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,picta,Animalia.Chordata.Reptilia.Testudines.Emydidae.Chrysemys.picta,Painted turtle,2750,1642,-1108,,,,,,,,371.8,,61,6,wild,medium,acceptable,,,0.0236,400,289.5,"6,37,371,527,528,927,1143,1187"
3323,Animalia,Chordata,Reptilia,Testudines,Emydidae,Clemmys,guttata,Animalia.Chordata.Reptilia.Testudines.Emydidae.Clemmys.guttata,Spotted turtle,2920,2920,0,77,,3,,,,,,,30,528,wild,medium,acceptable,,,,,,"440,528"
3324,Animalia,Chordata,Reptilia,Testudines,Emydidae,Deirochelys,reticularia,Animalia.Chordata.Reptilia.Testudines.Emydidae.Deirochelys.reticularia,Chicken turtle,1825,912,-913,,,,,,,,,,24,528,wild,medium,acceptable,,,,,,"19,527,528"
3325,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emydoidea,blandingii,Animalia.Chordata.Reptilia.Testudines.Emydidae.Emydoidea.blandingii,Blanding's turtle,6500,4380,-2120,,,8,,,,,,,77,7,wild,medium,acceptable,,999,,,,"74,405,281,143"
3326,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,orbicularis,Animalia.Chordata.Reptilia.Testudines.Emydidae.Emys.orbicularis,European pond turtle,,,0,,,,,,,,,,120,527,captivity,medium,acceptable,,,,,,527
3327,Animalia,Chordata,Reptilia,Testudines,Emydidae,Glyptemys,insculpta,Animalia.Chordata.Reptilia.Testudines.Emydidae.Glyptemys.insculpta,Wood turtle,5840,5840,0,,,,,,,,,,60,1,captivity,small,acceptable,,,,,,"1,528"
3328,Animalia,Chordata,Reptilia,Testudines,Emydidae,Glyptemys,muhlenbergii,Animalia.Chordata.Reptilia.Testudines.Emydidae.Glyptemys.muhlenbergii,Bog turtle,2900,2900,0,90,,3,,,,,,,40,644,unknown,medium,acceptable,,,,,,"440,644,645"
3329,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,barbouri,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.barbouri,Barbour's map turtle,,,0,,,,,,,,,,31.7,485,captivity,medium,acceptable,,,,,,485
3330,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,caglei,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.caglei,Cagle's map turtle,,,0,,,,,,,,,,14.5,451,captivity,small,acceptable,,,,,,451
3331,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,geographica,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.geographica,Common map turtle,5110,,-5110,,,,,,,,,,,,unknown,small,low,,,,,,"451,528"
3332,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,nigrinoda,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.nigrinoda,Black-knobbed map turtle,,,0,,,,,,,,,,20.3,451,captivity,small,acceptable,,,,,,451
3333,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,oculifera,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.oculifera,Ringed map turtle,,,0,,,,,,,,,,20.3,451,captivity,medium,acceptable,,,,,,451
3334,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,pseudogeographica,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.pseudogeographica,Mississippi map turtle,,,0,,,,,,,,,,35.4,485,captivity,medium,acceptable,,,,,,485
3335,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,pulchra,Animalia.Chordata.Reptilia.Testudines.Emydidae.Graptemys.pulchra,Alabama map turtle,,,0,,,,,,,,,,15.7,451,captivity,small,acceptable,,,,,,451
3336,Animalia,Chordata,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,Animalia.Chordata.Reptilia.Testudines.Emydidae.Malaclemys.terrapin,Diamondback terrapin,2190,910,-1280,84,,9,,,,,720,,,,unknown,medium,low,,,0.140702,720,297.15,"37,451,468,528"
3337,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,concinna,Animalia.Chordata.Reptilia.Testudines.Emydidae.Pseudemys.concinna,River cooter,2190,1277,-913,,,,,,,,,,44,451,captivity,medium,acceptable,,,,,,"451,528"
3338,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,nelsoni,Animalia.Chordata.Reptilia.Testudines.Emydidae.Pseudemys.nelsoni,Florida red-bellied turtle,,,0,,,,,,,,,,26.1,485,captivity,medium,acceptable,,,,,,485
3339,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,rubriventris,Animalia.Chordata.Reptilia.Testudines.Emydidae.Pseudemys.rubriventris,Northern red-bellied cooter,,3285,3285,,,,,,,,,,,,unknown,small,low,,,,,,"451,528"
3340,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,carolina,Animalia.Chordata.Reptilia.Testudines.Emydidae.Terrapene.carolina,Eastern box turtle,2190,2190,0,,,,,,,,,,138,543,wild,medium,acceptable,,999,,,,"26,64,468,528,543"
3341,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,coahuila,Animalia.Chordata.Reptilia.Testudines.Emydidae.Terrapene.coahuila,Coahuilan box turtle,,,0,,,,,,,,,,18.8,451,captivity,medium,acceptable,,,,,,451
3342,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,nelsoni,Animalia.Chordata.Reptilia.Testudines.Emydidae.Terrapene.nelsoni,Spotted box turtle,,,0,,,,,,,,,,24.9,451,captivity,tiny,acceptable,,,,,,451
3343,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,ornata,Animalia.Chordata.Reptilia.Testudines.Emydidae.Terrapene.ornata,Ornate box turtle,2920,2920,0,63,,5,,,,,,,28.4,451,captivity,medium,acceptable,,,,,,"451,468"
3344,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,decorata,Animalia.Chordata.Reptilia.Testudines.Emydidae.Trachemys.decorata,Hispaniolan slider,,,0,,,,,,,,,,,,unknown,small,low,,,,,,451
